0.014583333	107.7117481
0.044166667	104.7197551
0.074479167	102.5826173
0.1053125	101.2056694
0.136875	97.91977102
0.169583333	94.24777961
0.203125	93.08422677
0.236979167	92.5131579
0.271770833	88.18505694
0.307708333	86.66462493
0.344583333	83.7758041
0.382604167	81.51159317
0.421291667	80.89938164
0.461395833	75.92973181
0.503125	74.65170662
0.546041667	71.80783208
0.590625	69.17268228
0.637083333	66.13879271
0.685208333	64.44292623
0.735416667	60.8050191
0.788333333	57.9986336
0.843541667	55.85053606
0.901875	51.99877496
0.964166667	48.95988551
1.030729167	45.55783909
1.102604167	42.00458144
1.17875	40.5366794
1.263333333	34.27191986
1.361458333	30.03913294
1.476041667	25.21679722
1.616875	19.99952883
1.811666667	13.51222647
