40.8,43,32.8,477,59.3
56.4,77,48,490,66.3
72.3,114,65.9,504,73.5
89,155,86,519.2,80.85
107,201,110.3,536.25,88.3
125.5,253,140.7,556.6,96
144.6,318,183,577.8,104
164.5,400,260,604,112.1
185,525,,636.9,120.25
206.5,,,681.6,128.8
229,,,764,137.5
252.5,,,,146.5
277,,,,155.75
303,,,,165.07
331.5,,,,175
361,,,,185.1
393.3,,,,195.6
428,,,,206.5
466,,,,217.9
509,,,,229.6
556,,,,242
612.5,,,,255
681,,,,268.5
773,,,,283
925,,,,298.4
,,,,314.95
,,,,332.9
,,,,351.5
,,,,373.5
,,,,398.6
,,,,428.5
,,,,466.2
,,,,522
