mdot (kg/s),power (W)
0.0,4.989722300272624
0.0001,4.991248147340932
0.0002,4.991910676927836
0.00030000000000000003,4.991709889033337
0.0004,4.990645783657435
0.0005,4.9892203305363765
0.0006000000000000001,4.987824960367021
0.0007,4.985997931456966
0.0008,4.983739243806208
0.0009000000000000001,4.981048897414748
0.001,4.977926892282587
0.0011,4.974373228409724
0.0012000000000000001,4.9703879057961595
0.0013000000000000002,4.965970924441893
0.0014,4.961122284346925
0.0015,4.955841985511256
0.0016,4.950130027934884
0.0017000000000000001,4.9439864116178125
0.0018000000000000002,4.937411136560038
0.0019,4.9304042027615615
0.002,4.922965610222384
0.0021000000000000003,4.915095358942504
0.0022,4.906793448921923
0.0023,4.89805988016064
0.0024000000000000002,4.888894652658656
0.0025,4.87929776641597
0.0026000000000000003,4.869269221432583
0.0027,4.858809017708492
0.0028,4.847917155243701
0.0029000000000000002,4.836593634038208
0.003,4.824838454092014
0.0031000000000000003,4.812651615405118
0.0032,4.800033117977521
0.0033,4.786982961809222
0.0034000000000000002,4.77350114690022
0.0035,4.759587673250517
0.0036000000000000003,4.745242540860113
0.0037,4.7304657497290075
0.0038,4.7152572998572
0.0039000000000000003,4.69961719124469
0.004,4.68354542389148
0.0041,4.667041997797567
0.004200000000000001,4.650106912962952
0.0043,4.632740169387636
0.0044,4.614941767071619
0.0045000000000000005,4.5967117060149
0.0046,4.578049986217478
0.0047,4.558956607679356
0.0048000000000000004,4.539431570400533
0.0049,4.5194748743810065
0.005,4.4990865196207785
0.0051,4.478266506119849
0.005200000000000001,4.457014833878219
0.0053,4.4353315028958855
0.0054,4.413216513172852
0.0055000000000000005,4.390669864709116
0.0056,4.367691557504679
0.0057,4.34428159155954
0.0058000000000000005,4.320439966873698
0.0059,4.296166683447155
0.006,4.271461741279912
0.0061,4.246325140371966
0.006200000000000001,4.220756880723318
0.0063,4.194756962333969
0.0064,4.168325385203918
0.006500000000000001,4.141462149333166
0.0066,4.114167254721712
0.0067,4.086440701369556
0.0068000000000000005,4.058282489276698
0.006900000000000001,4.029692618443139
0.007,4.000671088868879
0.0071,3.9712179005539165
0.007200000000000001,3.941333053498252
0.0073,3.9110165477018866
0.0074,3.8802683831648195
0.007500000000000001,3.8490885598870506
0.0076,3.81747707786858
0.0077,3.785433937109407
0.0078000000000000005,3.752959137609533
0.0079,3.720052679368957
0.008,3.6867145623876802
0.0081,3.652944786665701
0.0082,3.6187433522030203
0.0083,3.5841102589996385
0.008400000000000001,3.5490455070555544
0.0085,3.5135490963707685
0.0086,3.4776210269452816
0.008700000000000001,3.441261298779092
0.0088,3.404469911872201
0.0089,3.367246866224609
0.009000000000000001,3.3295921618363153
0.0091,3.2915057987073197
0.0092,3.2529877768376227
0.009300000000000001,3.2140380962272235
0.0094,3.1746567568761233
0.0095,3.1348437587843208
0.009600000000000001,3.094599101951817
0.0097,3.0539227863786116
0.0098,3.0128148120647045
0.0099,2.9712751790100946
0.01,2.929303887214785
0.010100000000000001,2.8869009366787717
0.0102,2.8440663274020586
0.0103,2.800800059384643
0.010400000000000001,2.7571021326265255
0.0105,2.712972547127707
0.0106,2.668411302888187
0.010700000000000001,2.6234183999079645
0.0108,2.5779938381870404
0.0109,2.532137617725416
0.011000000000000001,2.485849738523088
0.0111,2.4391302005800597
0.0112,2.3919790038963296
0.011300000000000001,2.344396148471897
0.0114,2.2963816343067633
0.0115,2.247935461400929
0.011600000000000001,2.1990576297543907
0.0117,2.1497481393671523
0.0118,2.1000069902392124
0.0119,2.0498341823705686
0.012,1.9992297157612262
0.012100000000000001,1.94819359041118
0.0122,1.8967258063204335
0.0123,1.844826363488985
0.012400000000000001,1.7924952619168342
0.0125,1.7397325016039826
0.0126,1.6865380825504297
0.012700000000000001,1.632912004756173
0.0128,1.5788542682212166
0.0129,1.5243648729455586
0.013000000000000001,1.4694438189291974
0.0131,1.414091106172136
0.0132,1.3583067346743722
0.013300000000000001,1.3020907044359067
0.0134,1.2454430154567402
0.0135,1.1883636677368719
0.013600000000000001,1.1308526612763006
0.0137,1.0729099960750297
0.013800000000000002,1.014535672133055
0.013900000000000001,0.9557296894503806
0.014,0.8964920480270039
0.014100000000000001,0.836822747862924
0.0142,0.7767217889581445
0.0143,0.7161891713126634
0.014400000000000001,0.6552248949264792
0.0145,0.5938289597995946
0.0146,0.5320013659320076
0.014700000000000001,0.46974211332371824
0.0148,0.4070512019747293
0.0149,0.34392863188503725
0.015000000000000001,0.2803744030546428
0.0151,0.21638851548354873
0.0152,0.1519709691717523
0.015300000000000001,0.08712176411925267
0.0154,0.021840900326052806
0.0155,-0.043871622207848036
0.015600000000000001,-0.11001580348245275
0.015700000000000002,-0.17659164349775774
0.0158,-0.24359914225376514
0.0159,-0.3110382997504721
0.016,-0.37890911598788213
0.0161,-0.44721159096599467
0.0162,-0.5159457246848059
0.016300000000000002,-0.5851115171443241
0.0164,-0.6547089683445403
0.0165,-0.7247380782854574
0.0166,-0.795198846967077
0.0167,-0.866091274389399
0.016800000000000002,-0.9374153605524227
0.016900000000000002,-1.009171105456148
0.017,-1.0813585091005746
0.0171,-1.1539775714857026
0.0172,-1.2270282926115317
0.0173,-1.3005106724780633
0.017400000000000002,-1.3744247110852994
0.0175,-1.4487704084332336
0.0176,-1.5235477645218694
0.0177,-1.5987567793512076
0.0178,-1.6743974529212478
0.0179,-1.7504697852319873
0.018000000000000002,-1.8269737762834337
0.0181,-1.903909426075578
0.0182,-1.9812767346084235
0.0183,-2.059075701881971
0.0184,-2.1373063278962214
