,0.001,0.003,0.01,0.03,0.1,0.3,1,3,10,30,100,300
100,78.41,73.88,68.91,64.38,59.41,54.88,49.92,45.38,40.42,nan,nan,nan
150,83.84,79.3,74.34,69.81,64.84,60.31,55.34,50.81,45.84,nan,nan,nan
200,87.68,83.15,78.18,73.65,68.68,64.15,59.19,54.65,49.69,nan,nan,nan
250,90.77,86.24,81.27,76.74,71.77,67.24,62.27,57.74,52.78,nan,nan,nan
298.15,93.27,88.74,83.77,79.24,74.27,69.74,64.77,60.24,55.28,nan,nan,nan
400,97.5,92.97,88.01,83.47,78.51,73.98,69.01,64.48,59.51,nan,nan,nan
500,100.74,96.21,91.24,86.71,81.74,77.21,72.24,67.71,62.75,nan,nan,nan
600,103.39,98.86,93.89,89.36,84.39,79.86,74.89,70.36,65.4,nan,nan,nan
700,105.63,101.1,96.14,91.6,86.64,82.11,77.14,72.61,67.64,nan,nan,nan
800,107.59,103.06,98.09,93.56,88.59,84.06,79.1,74.57,69.6,nan,nan,nan
900,109.33,104.8,99.83,95.3,90.33,85.8,80.83,76.3,71.34,nan,nan,nan
"1,000",110.9,106.37,101.4,96.87,91.9,87.37,82.4,77.87,72.91,nan,nan,nan
"1,100",112.34,107.8,102.84,98.31,93.34,88.81,83.84,79.31,74.34,nan,nan,nan
"1,200",113.66,109.13,104.17,99.63,94.67,90.14,85.17,80.64,75.67,nan,nan,nan
"1,300",114.91,110.37,105.41,100.87,95.91,91.38,86.41,81.88,76.91,nan,nan,nan
"1,400",116.08,111.54,106.57,102.04,97.07,92.54,87.57,83.04,78.07,nan,nan,nan
"1,500",117.21,112.66,107.68,103.14,98.17,93.64,88.67,84.14,79.17,nan,nan,nan
"1,600",118.33,113.75,108.75,104.2,99.22,94.69,89.72,85.18,80.21,nan,nan,nan
"1,700",119.52,114.85,109.8,105.23,100.23,95.69,90.71,86.18,81.21,nan,nan,nan
"1,800",120.89,116.04,110.88,106.25,101.22,96.66,91.67,87.13,82.16,nan,nan,nan
"1,900",122.63,117.43,112.05,107.31,102.21,97.61,92.6,88.05,83.07,nan,nan,nan
"2,000",125.01,119.17,113.39,108.45,103.23,98.56,93.52,88.94,83.95,nan,nan,nan
"2,100",128.42,121.49,115.04,109.75,104.32,99.55,94.43,89.83,84.81,nan,nan,nan
"2,200",133.35,124.69,117.16,111.32,105.54,100.59,95.37,90.7,85.66,nan,nan,nan
"2,300",140.4,129.14,119.96,113.26,106.95,101.74,96.34,91.6,86.5,nan,nan,nan
"2,400",150.05,135.24,123.68,115.73,108.65,103.03,97.39,92.52,87.34,nan,nan,nan
"2,500",162.37,143.35,128.6,118.9,110.71,104.53,98.54,93.49,88.2,nan,nan,nan
"2,600",176.39,153.56,134.96,122.95,113.27,106.3,99.83,94.52,89.08,nan,nan,nan
"2,700",189.95,165.37,142.9,128.06,116.42,108.42,101.29,95.66,90.01,nan,nan,nan
"2,800",200.86,177.48,152.27,134.33,120.28,110.95,102.98,96.91,90.99,nan,nan,nan
"2,900",208.39,188.21,162.48,141.76,124.95,113.97,104.94,98.31,92.05,nan,nan,nan
"3,000",213.14,196.47,172.52,150.1,130.46,117.54,107.2,99.89,93.2,nan,nan,nan
"3,100",216.09,202.2,181.32,158.82,136.78,121.72,109.82,101.67,94.45,nan,nan,nan
"3,200",218,205.97,188.24,167.2,143.71,126.51,112.83,103.67,95.82,nan,nan,nan
"3,400",220.32,210.16,196.8,180.5,157.95,137.63,120.09,108.47,98.98,nan,nan,nan
"3,600",221.86,212.36,200.99,188.34,169.85,149.54,128.87,114.38,102.79,nan,nan,nan
"3,800",223.1,213.85,203.29,192.54,177.78,160.09,138.48,121.37,107.32,nan,nan,nan
"4,000",224.21,215.06,204.84,194.97,182.49,167.87,147.72,129.07,112.56,nan,nan,nan
"4,200",225.24,216.13,206.06,196.59,185.32,172.98,155.45,136.86,118.38,nan,nan,nan
"4,400",226.21,217.12,207.11,197.84,187.18,176.23,161.2,143.98,124.51,nan,nan,nan
"4,600",227.13,218.06,208.08,198.9,188.56,178.4,165.21,149.88,130.59,nan,nan,nan
"4,800",228.02,218.95,208.99,199.85,189.68,179.97,167.98,154.42,136.22,nan,nan,nan
"5,000",228.88,219.8,209.85,200.74,190.66,181.2,169.96,157.79,141.09,nan,nan,nan
