,1,2,5,10,15,25,40,60,80,100
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,646140,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,653080,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,659940,648730,nan,nan,nan,nan,nan,nan,nan,nan
24,666680,656390,nan,nan,nan,nan,nan,nan,nan,nan
25,673370,663790,nan,nan,nan,nan,nan,nan,nan,nan
26,680030,671080,nan,nan,nan,nan,nan,nan,nan,nan
27,686620,678220,nan,nan,nan,nan,nan,nan,nan,nan
28,693170,685270,655130,nan,nan,nan,nan,nan,nan,nan
29,699690,692230,664800,nan,nan,nan,nan,nan,nan,nan
30,706190,699110,673900,nan,nan,nan,nan,336510,324210,315830
31,712660,705940,682590,nan,nan,nan,nan,346810,333090,322980
32,719100,712710,690850,631570,nan,nan,nan,357670,342470,330840
33,725540,719440,698860,646300,nan,nan,nan,369060,352320,339360
34,731970,726140,706700,663120,506950,nan,nan,380930,362610,348500
35,738400,732820,714420,676080,571190,nan,nan,393230,373310,358190
36,744830,739470,722000,686860,614330,nan,nan,405940,384380,368380
37,751240,746100,729450,696490,643480,nan,nan,418990,395790,379040
38,757630,752680,736760,705550,663730,532100,nan,432340,407500,390090
39,763980,759200,743950,714320,678610,564800,nan,445960,419480,401490
40,770290,765670,751010,722920,690470,591860,nan,459780,431710,413200
41,776570,772100,757980,731360,700800,614610,nan,471000,444140,425170
42,782840,778510,764890,739640,710440,634110,536140,487940,456750,437340
43,789130,784930,771770,747730,719850,651170,555490,506840,469490,449670
44,795430,791360,778620,755630,729180,666390,574160,525400,482340,462110
45,801740,797790,785470,763360,738440,680230,592060,542390,495280,474630
46,808070,804240,792310,770950,747560,693040,609160,557340,508260,487180
47,814390,810660,799100,778450,756440,705040,625430,570280,521260,499730
48,820690,817070,805860,785900,765020,716420,640900,581550,534250,512230
49,826990,823460,812580,793360,773250,727290,655590,591670,547200,524660
50,833270,829840,819270,800850,781130,737740,669560,601190,560100,536980
51,839560,836210,825950,808140,788700,747810,682840,610630,572910,549180
52,845850,842590,832600,815360,796050,757560,695510,620430,585620,561220
53,852130,848950,839240,822510,803250,767010,707620,630910,598200,573080
54,858420,855310,845850,829610,810430,776190,719230,642270,610650,584760
55,864710,861680,852450,836650,817670,785120,730390,654560,622940,596230
56,871010,868040,859030,843640,825060,793830,741170,667740,635050,607520
57,877310,874410,865610,850600,832660,802340,751620,681640,647080,619200
58,883620,880780,872170,857510,840490,810670,761770,696060,658770,629440
59,889930,887160,878740,864400,848540,818860,771680,710710,670220,638960
60,896260,893550,885290,871270,856770,826930,781370,725300,681480,648270
61,902580,899930,891850,878120,863960,834910,790870,739540,692590,657710
62,908910,906320,898400,884960,871120,842820,800220,753160,703590,667450
63,915250,912710,904960,891790,878270,850690,809420,765930,714500,677600
64,921600,919120,911520,898620,885420,858520,818500,777700,725310,688160
65,927960,925530,918080,905460,892560,866340,827470,788370,736050,699090
66,934330,931950,924650,912300,899710,874150,836340,797920,746700,710300
67,940710,938380,931230,919140,906850,881960,845120,806400,757250,721720
68,947100,944820,937810,925990,914010,889770,853810,813950,767720,733220
69,953510,951270,944410,932840,921160,897560,862410,820750,778080,744700
70,959930,957730,951010,939700,928300,905340,870920,827050,788340,756090
71,966360,964200,957610,946530,935370,912900,879350,835910,798480,767300
72,972800,970690,964210,953360,942430,920420,887710,844730,808500,778260
73,979260,977180,970830,960190,949480,927910,895980,853540,818410,788950
74,985730,983690,977460,967020,956520,935370,904180,862390,828200,799330
75,992220,990210,984090,973850,963550,942810,912310,871280,837860,809410
76,998720,996750,990740,980690,970580,950240,920360,880240,847410,819200
77,1005240,1003300,997400,987530,977600,957640,928360,889250,856850,828720
78,1011780,1009870,1004070,994380,984630,965040,936300,898310,866170,838010
79,1018340,1016450,1010750,1001230,991650,972420,944180,907390,875400,847120
80,1024920,1023050,1017450,1008100,998670,979800,952030,916470,884530,856100
81,1031520,1029680,1024170,1014970,1005710,987160,959890,925040,893570,864990
82,1038130,1036330,1030910,1021860,1012760,994510,967720,933560,902540,873870
83,1044770,1042990,1037660,1028760,1019810,1001870,975520,942010,911430,882760
84,1051440,1049680,1044430,1035670,1026870,1009230,983310,950420,920270,891710
85,1058120,1056390,1051220,1042600,1033940,1016590,991090,958770,929060,900760
86,1064830,1063130,1058030,1049540,1041020,1023960,998850,967080,937800,909920
87,1071560,1069880,1064860,1056500,1048110,1031330,1006600,975350,946500,919210
88,1078320,1076660,1071720,1063470,1055220,1038720,1014350,983580,955170,928630
89,1085100,1083470,1078590,1070460,1062340,1046110,1022110,991790,963820,938160
90,1091900,1090300,1085490,1077470,1069470,1053520,1029860,999970,972450,947770
91,1098730,1097150,1092410,1084500,1076620,1060930,1037630,1008210,981020,956700
92,1105590,1104030,1099360,1091550,1083780,1068350,1045400,1016440,989570,965590
93,1112470,1110940,1106330,1098630,1090960,1075780,1053190,1024680,998110,974450
94,1119380,1117870,1113320,1105720,1098150,1083220,1060990,1032910,1006640,983270
95,1126320,1124830,1120340,1112840,1105360,1090680,1068800,1041150,1015170,992070
96,1133280,1131810,1127390,1119980,1112600,1098160,1076630,1049390,1023710,1000840
97,1140270,1138820,1134460,1127140,1119850,1105650,1084480,1057640,1032240,1009570
98,1147290,1145860,1141560,1134330,1127120,1113160,1092350,1065900,1040790,1018280
99,1154330,1152920,1148690,1141550,1134410,1120680,1100230,1074160,1049340,1026960
100,1161410,1160010,1155840,1148790,1141730,1128220,1108140,1082430,1057900,1035620
101,1168510,1167130,1163020,1156050,1149060,1135780,1116030,1090680,1066420,1044320
102,1175640,1174280,1170220,1163340,1156420,1143350,1123920,1098930,1074930,1053020
103,1182800,1181460,1177450,1170650,1163810,1150940,1131830,1107190,1083440,1061710
104,1189990,1188660,1184710,1177990,1171210,1158550,1139750,1115440,1091950,1070400
105,1197200,1195900,1191990,1185350,1178650,1166170,1147670,1123690,1100460,1079090
106,1204450,1203160,1199310,1192740,1186100,1173810,1155600,1131940,1108970,1087770
107,1211730,1210450,1206650,1200150,1193590,1181470,1163540,1140190,1117470,1096460
108,1219030,1217770,1214010,1207590,1201100,1189150,1171480,1148440,1125960,1105140
109,1226360,1225120,1221410,1215060,1208630,1196840,1179430,1156680,1134450,1113820
110,1233730,1232490,1228830,1222550,1216190,1204560,1187380,1164920,1142940,1122500
111,1241120,1239900,1236280,1230070,1223780,1212290,1195340,1173160,1151420,1131190
112,1248540,1247340,1243750,1237620,1231390,1220050,1203310,1181400,1159900,1139870
113,1255990,1254800,1251260,1245190,1239030,1227820,1211280,1189630,1168370,1148550
114,1263470,1262290,1258790,1252790,1246700,1235610,1219250,1197870,1176840,1157240
115,1270980,1269810,1266350,1260410,1254400,1243420,1227230,1206100,1185310,1165920
116,1278520,1277360,1273930,1268060,1262120,1251250,1235220,1214330,1193770,1174610
117,1286090,1284940,1281540,1275740,1269870,1259100,1243210,1222550,1202220,1183300
118,1293690,1292550,1289190,1283450,1277650,1266980,1251220,1230780,1210680,1192000
119,1301310,1300190,1296850,1291180,1285450,1274870,1259230,1239020,1219130,1200690
120,1308970,1307860,1304550,1298930,1293280,1282790,1267250,1247250,1227580,1209390
121,1316650,1315550,1312270,1306720,1301140,1290720,1275280,1255490,1236030,1218100
122,1324370,1323280,1320020,1314530,1309020,1298680,1283330,1263740,1244490,1226810
123,1332110,1331030,1327800,1322370,1316930,1306660,1291390,1271990,1252950,1235520
124,1339880,1338810,1335610,1330230,1324870,1314670,1299470,1280250,1261410,1244240
125,1347680,1346620,1343440,1338120,1332830,1322700,1307560,1288530,1269890,1252970
126,1355510,1354460,1351310,1346050,1340820,1330760,1315740,1296880,1278450,1261730
127,1363370,1362330,1359210,1353990,1348830,1338840,1323940,1305260,1287030,1270500
128,1371260,1370220,1367130,1361970,1356860,1346950,1332160,1313650,1295620,1279280
129,1379170,1378150,1375080,1369970,1364920,1355090,1340410,1322060,1304230,1288070
130,1387120,1386100,1383060,1378000,1373000,1363250,1348680,1330490,1312860,1296880
